"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,25,"BEN","Benin",1,"Alibori",1,"Banikoara","BJ.AL.BA",NA,"","Commune","Commune","",""
2,25,"BEN","Benin",1,"Alibori",2,"Gogounou","BJ.AL.GO",NA,"","Commune","Commune","",""
3,25,"BEN","Benin",1,"Alibori",3,"Kandi","BJ.AL.KN",NA,"","Commune","Commune","",""
4,25,"BEN","Benin",1,"Alibori",4,"Karimama","BJ.AL.KR",NA,"","Commune","Commune","",""
5,25,"BEN","Benin",1,"Alibori",5,"Malanville","BJ.AL.MA",NA,"","Commune","Commune","",""
6,25,"BEN","Benin",1,"Alibori",6,"Segbana","BJ.AL.SE",NA,"","Commune","Commune","",""
7,25,"BEN","Benin",2,"Atakora",7,"Boukoumbé","BJ.AK.BO",NA,"","Commune","Commune","","Boukombé"
8,25,"BEN","Benin",2,"Atakora",8,"Cobly","BJ.AK.CB",NA,"","Commune","Commune","","Cobli|Cobli"
9,25,"BEN","Benin",2,"Atakora",9,"Kérou","BJ.AK.KE",NA,"","Commune","Commune","",""
10,25,"BEN","Benin",2,"Atakora",10,"Kouandé","BJ.AK.KO",NA,"","Commune","Commune","",""
11,25,"BEN","Benin",2,"Atakora",11,"Matéri","BJ.AK.MA",NA,"","Commune","Commune","",""
12,25,"BEN","Benin",2,"Atakora",12,"Natitingou","BJ.AK.NA",NA,"","Commune","Commune","","Natingou"
13,25,"BEN","Benin",2,"Atakora",13,"Péhunco","BJ.AK.PE",NA,"","Commune","Commune","","Pehonko"
14,25,"BEN","Benin",2,"Atakora",14,"Tanguiéta","BJ.AK.TA",NA,"","Commune","Commune","",""
15,25,"BEN","Benin",2,"Atakora",15,"Toucountouna","BJ.AK.TO",NA,"","Commune","Commune","","Tchoukoutouna"
16,25,"BEN","Benin",3,"Atlantique",16,"Abomey-Calavi","BJ.AQ.AC",NA,"","Commune","Commune","",""
17,25,"BEN","Benin",3,"Atlantique",17,"Allada","BJ.AQ.AL",NA,"","Commune","Commune","",""
18,25,"BEN","Benin",3,"Atlantique",18,"Kpomassè","BJ.AQ.KP",NA,"","Commune","Commune","",""
19,25,"BEN","Benin",3,"Atlantique",19,"Ouidah","BJ.AQ.OU",NA,"","Commune","Commune","",""
20,25,"BEN","Benin",3,"Atlantique",20,"Sô-Ava","BJ.AQ.SA",NA,"","Commune","Commune","",""
21,25,"BEN","Benin",3,"Atlantique",21,"Toffo","BJ.AQ.TF",NA,"","Commune","Commune","",""
22,25,"BEN","Benin",3,"Atlantique",22,"Tori-Bossito","BJ.AQ.TB",NA,"","Commune","Commune","",""
23,25,"BEN","Benin",3,"Atlantique",23,"Zè","BJ.AQ.ZE",NA,"","Commune","Commune","",""
24,25,"BEN","Benin",4,"Borgou",24,"Bembéréké","BJ.BO.BE",NA,"","Commune","Commune","",""
25,25,"BEN","Benin",4,"Borgou",25,"Kalalé","BJ.BO.KL",NA,"","Commune","Commune","",""
26,25,"BEN","Benin",4,"Borgou",26,"N'Dali","BJ.BO.ND",NA,"","Commune","Commune","","Ndali"
27,25,"BEN","Benin",4,"Borgou",27,"Nikki","BJ.BO.NI",NA,"","Commune","Commune","",""
28,25,"BEN","Benin",4,"Borgou",28,"Pèrèrè","BJ.BO.PE",NA,"","Commune","Commune","",""
29,25,"BEN","Benin",4,"Borgou",29,"Parakou","BJ.BO.PA",NA,"","Commune","Commune","",""
30,25,"BEN","Benin",4,"Borgou",30,"Sinendé","BJ.BO.SI",NA,"","Commune","Commune","",""
31,25,"BEN","Benin",4,"Borgou",31,"Tchaourou","BJ.BO.TC",NA,"","Commune","Commune","",""
32,25,"BEN","Benin",5,"Collines",32,"Bantè","BJ.CL.BA",NA,"","Commune","Commune","",""
33,25,"BEN","Benin",5,"Collines",33,"Dassa-Zoumè","BJ.CL.DZ",NA,"","Commune","Commune","","Dassa"
34,25,"BEN","Benin",5,"Collines",34,"Glazoué","BJ.CL.GL",NA,"","Commune","Commune","",""
35,25,"BEN","Benin",5,"Collines",35,"Ouèssè","BJ.CL.OS",NA,"","Commune","Commune","",""
36,25,"BEN","Benin",5,"Collines",36,"Savè","BJ.CL.SE",NA,"","Commune","Commune","",""
37,25,"BEN","Benin",5,"Collines",37,"Savalou","BJ.CL.SL",NA,"","Commune","Commune","",""
38,25,"BEN","Benin",6,"Donga",38,"Bassila","BJ.DO.BA",NA,"","Commune","Commune","",""
39,25,"BEN","Benin",6,"Donga",39,"Copargo","BJ.DO.CP",NA,"","Commune","Commune","",""
40,25,"BEN","Benin",6,"Donga",40,"Djougou","BJ.DO.DJ",NA,"","Commune","Commune","","Djougou Urban"
41,25,"BEN","Benin",6,"Donga",41,"Ouaké","BJ.DO.OU",NA,"","Commune","Commune","",""
42,25,"BEN","Benin",7,"Kouffo",42,"Aplahoué","BJ.CF.AP",NA,"","Commune","Commune","",""
43,25,"BEN","Benin",7,"Kouffo",43,"Djakotomey","BJ.CF.DJ",NA,"","Commune","Commune","","Djakotome"
44,25,"BEN","Benin",7,"Kouffo",44,"Dogbo","BJ.CF.DO",NA,"","Commune","Commune","","Dogbo-Tota"
45,25,"BEN","Benin",7,"Kouffo",45,"Klouékanmè","BJ.CF.KL",NA,"","Commune","Commune","","Klouékanmey"
46,25,"BEN","Benin",7,"Kouffo",46,"Lalo","BJ.CF.LA",NA,"","Commune","Commune","",""
47,25,"BEN","Benin",7,"Kouffo",47,"Toviklin","BJ.CF.TO",NA,"","Commune","Commune","",""
48,25,"BEN","Benin",8,"Littoral",48,"Cotonou","BJ.LI.CO",NA,"","Commune","Commune","",""
49,25,"BEN","Benin",9,"Mono",49,"Athiémé","BJ.MO.AT",NA,"","Commune","Commune","",""
50,25,"BEN","Benin",9,"Mono",50,"Bopa","BJ.MO.BO",NA,"","Commune","Commune","",""
51,25,"BEN","Benin",9,"Mono",51,"Comè","BJ.MO.CO",NA,"","Commune","Commune","",""
52,25,"BEN","Benin",9,"Mono",52,"Grand-Popo","BJ.MO.GP",NA,"","Commune","Commune","",""
53,25,"BEN","Benin",9,"Mono",53,"Houéyogbé","BJ.MO.HO",NA,"","Commune","Commune","",""
54,25,"BEN","Benin",10,"Ouémé",54,"Adjarra","BJ.OU.AA",NA,"","Commune","Commune","","Adjara"
55,25,"BEN","Benin",10,"Ouémé",55,"Adjohoun","BJ.OU.AH",NA,"","Commune","Commune","",""
56,25,"BEN","Benin",10,"Ouémé",56,"Aguégués","BJ.OU.AG",NA,"","Commune","Commune","","Aguegue|Aguégué"
57,25,"BEN","Benin",10,"Ouémé",57,"Akpro-Missérété","BJ.OU.AM",NA,"","Commune","Commune","",""
58,25,"BEN","Benin",10,"Ouémé",58,"Avrankou","BJ.OU.AV",NA,"","Commune","Commune","",""
59,25,"BEN","Benin",10,"Ouémé",59,"Bonou","BJ.OU.BO",NA,"","Commune","Commune","",""
60,25,"BEN","Benin",10,"Ouémé",60,"Dangbo","BJ.OU.DA",NA,"","Commune","Commune","",""
61,25,"BEN","Benin",10,"Ouémé",61,"Porto-Novo","BJ.OU.PN",NA,"","Commune","Commune","","Porto Novo"
62,25,"BEN","Benin",10,"Ouémé",62,"Sèmè-Kpodji","BJ.OU.SK",NA,"","Commune","Commune","","Sèmè-Podji"
63,25,"BEN","Benin",11,"Plateau",63,"Adja-Ouèrè","BJ.PL.AO",NA,"","Commune","Commune","","Ikpinle"
64,25,"BEN","Benin",11,"Plateau",64,"Ifangni","BJ.PL.IF",NA,"","Commune","Commune","",""
65,25,"BEN","Benin",11,"Plateau",65,"Kétou","BJ.PL.KE",NA,"","Commune","Commune","",""
66,25,"BEN","Benin",11,"Plateau",66,"Pobè","BJ.PL.PB",NA,"","Commune","Commune","",""
67,25,"BEN","Benin",11,"Plateau",67,"Sakété","BJ.PL.SA",NA,"","Commune","Commune","",""
68,25,"BEN","Benin",12,"Zou",68,"Abomey","BJ.ZO.AB",NA,"","Commune","Commune","","Abomé"
69,25,"BEN","Benin",12,"Zou",69,"Agbangnizoun","BJ.ZO.AG",NA,"","Commune","Commune","",""
70,25,"BEN","Benin",12,"Zou",70,"Bohicon","BJ.ZO.BO",NA,"","Commune","Commune","",""
71,25,"BEN","Benin",12,"Zou",71,"Covè","BJ.ZO.CO",NA,"","Commune","Commune","",""
72,25,"BEN","Benin",12,"Zou",72,"Djidja","BJ.ZO.DJ",NA,"","Commune","Commune","",""
73,25,"BEN","Benin",12,"Zou",73,"Ouinhi","BJ.ZO.ON",NA,"","Commune","Commune","",""
74,25,"BEN","Benin",12,"Zou",74,"Za-Kpota","BJ.ZO.ZK",NA,"","Commune","Commune","","Za Kpota"
75,25,"BEN","Benin",12,"Zou",75,"Zagnanado","BJ.ZO.ZN",NA,"","Commune","Commune","","Zangnanado"
76,25,"BEN","Benin",12,"Zou",76,"Zogbodomey","BJ.ZO.ZB",NA,"","Commune","Commune","","Zogbodome"
